p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,hardship,contact,t1,t2,t3,t4,t5,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,utility,id
7,7,7,7,7,7,7,7,6,7,5,1,7,6,6,3,7,6,6,6,6,6,6,6,6,5,6,6,6,6,AU04,201
7,7,7,7,7,4,5,5,7,5,1,2,7,7,7,6,6,6,7,6,7,6,6,6,6,6,7,6,6,6,AU04,202
7,6,7,7,7,1,1,4,1,4,1,1,7,7,6,7,6,3,4,4,4,4,4,4,4,3,4,6,4,4,AU04,203
7,7,6,7,7,7,7,5,6,5,1,3,6,6,6,4,7,4,6,6,5,7,6,6,5,5,5,6,7,5,AU04,204
7,6,6,7,7,4,4,6,4,4,4,1,6,6,6,6,6,5,6,4,5,4,6,4,4,4,4,5,4,5,AU04,205
7,7,7,7,7,7,7,7,6,7,2,1,7,7,6,6,6,6,6,5,5,6,4,5,6,6,4,7,5,6,AU04,206
7,7,4,4,4,4,5,5,4,4,5,2,6,5,5,5,1,4,5,5,5,4,3,5,4,4,4,5,4,4,AU04,207
7,7,7,7,7,7,7,7,7,7,4,2,6,1,3,1,2,1,6,6,4,6,6,6,6,1,6,6,6,1,AU04,208
7,6,6,7,7,6,5,6,5,5,1,1,7,7,7,7,7,6,6,5,6,4,4,4,4,5,4,7,4,6,AU04,209
7,7,7,7,7,7,7,7,7,7,6,2,6,6,5,6,6,1,5,6,4,1,5,6,7,1,1,1,1,2,AU04,210
1,7,7,7,7,7,7,7,7,7,2,2,7,7,7,7,5,6,6,6,6,6,6,6,6,5,6,3,6,6,AU04,211
7,7,7,7,7,7,7,7,7,7,6,1,7,7,7,7,7,6,7,6,6,4,6,4,6,7,4,4,4,6,AU04,212
7,4,5,6,7,4,3,5,2,4,2,1,7,6,6,5,6,4,7,4,5,4,4,4,4,5,4,3,4,5,AU04,213
1,7,7,7,7,1,6,7,7,7,4,1,6,6,6,6,2,4,6,4,6,4,4,4,4,6,4,4,4,6,AU04,214
7,7,4,7,7,4,4,7,4,4,4,1,7,7,7,7,7,4,7,4,4,4,4,4,4,4,4,6,4,5,AU04,215
